id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgyxQnUGkmLR_vGZogB4AaABAg,bill frost,2 days ago,1531936229049,"if nothing else it should be real clear to anyone with half a brain there's more than one power at play other than trump at running things , what a shark infested shit pit this political arena is ............",0,false,0,,,,,,
Ugzptui4jwW4vYd_vvp4AaABAg,There is nothing permanent except change.,2 days ago,1531936229058,Fuck youtube for deleting my comments go fuck yourself CUNTS.,0,false,0,,,,,,
UgzSmYimd0J0vlt0k7p4AaABAg,X ShockWaveAMG,2 days ago,1531936229067,"what animal is that hair from, I want one",0,false,0,,,,,,
Ugzr-U0SfCV4CD-NVe94AaABAg,J Carter,2 days ago,1531936229070,"Stupid gringos, they feel shame and shame when they want to subdue all the countries of the world, as if they were their subjects and lackeys, as they are of the zionist lobby, who are the ones behind the US politics ...",2,false,0,,,,,,
Ugw-iFkRHhTxI2ndkpl4AaABAg,Secular Progressive,2 days ago,1531936229080,Anti-Russia propaganda is at drastic levels in the US media,2,true,3,,,,,,
,,,,,,,,Ugw-iFkRHhTxI2ndkpl4AaABAg.8ipNuaU_po68irM2CEoZMs,Valich,1 day ago,1532022629389,"Secular Progressive 
Trump is so afraid of Putin and his super-powered nuclear weapons... the media doesn’t get it!!",0
,,,,,,,,Ugw-iFkRHhTxI2ndkpl4AaABAg.8ipNuaU_po68irOgUkgCf4,Secular Progressive,1 day ago,1532022629391,Valich You’re missing the severity here. The US terrorist state wants full out war with Russia and they propagandize to their citizens in an effort to make them more militaristic,0
,,,,,,,,Ugw-iFkRHhTxI2ndkpl4AaABAg.8ipNuaU_po68irqgSHTXEm,Valich,1 day ago,1532022629400,"Secular Progressive 
Thanks!! Yeah I see your point..",0
Ugw0XY_YHWQbDzs6yjZ4AaABAg,Mario Spiros,2 days ago,1531936229089,"Let me call it how it is, no one win the nuclear war so better for world peace if they get along.",0,false,0,,,,,,
UgwbTah9sdVX72Dr2m14AaABAg,Hassim Fahd,2 days ago,1531936229093,booooo Trump booooo Putin,0,false,0,,,,,,
UgxSvEzpHSRyvVh-NvR4AaABAg,TheProBush,2 days ago,1531936229101,"Putin Trump n Xi...
Rulers of the New World....",0,false,0,,,,,,
Ugxvhyu9yFYEbUy-Ekl4AaABAg,Atom Knows,2 days ago,1531936229106,"You have to love his choice of keywords, (See the origin)
Trump: We met with the Queen who is Absolutely a Terrific Person,
Absolutely  = unconditionally, completely
Terrific = ""Frightening,"" from Latin terrificus ""causing terror or fear, frightful,
Person = originally ""a mask, a false face,"" such as those of wood or clay worn by the actors in later Roman theater. 1:05

Trump: we walked in front of the Under Guard that was very inspiring. 1:14
under guard - being protected or being prevented from escaping.",2,false,0,,,,,,
UgyHKLUce15WpVu9zYN4AaABAg,Sir Alfred Lawrence,2 days ago,1531936230153,Democrats only care when it's white foreigners meddling in our elections when it's minorities such as the millions of illegal foreign Nationals living in our country they couldn't care less. When they're politicians push Democratic groups for policies that benefit Mexico no one cares.,0,false,0,,,,,,
UgzgpIYA5qWxx_lkfOB4AaABAg,Goerge T,2 days ago,1531936230157,The world needed Trump to save the hundreds!,0,false,0,,,,,,
UgxGnTmvcccEwrkwX3B4AaABAg,Alaia Chang,2 days ago,1531936230165,#TRUMPINDANGER #PROTECTTRUMP,0,false,0,,,,,,
